id|question1|question2|answer
0|EXPLAIN THE HYDROLOGIC CYCLE WITH THE HELP OF DIAGRAM|WHAT IS MEANT BY HYDROLOGICAL CYCLE ? HOW CAN THE PARAMETERS OF THE CYCLE BE WRITTEN IN AN EQUATION FORM ? DRAW A NEAT DIAGRAM TO ILLUSTRATE YOUR ANSWER. 2017-18; 10|HYDROLOGIC CYCLE : CLOUDS CONDENSATION PRECIPITATION SNOW INFILTRATION EVAPORATION SPRING TRANSPIRATION PERCOLATION EVAPORATION GROUND WATER FLOW EVAPORATION LAKE RIVER OCEAN FIGURE. 1.1.1. THE HYDROLOGIC CYCLE. HYDROLOGIC CYCLE IS THE PROCESS OF TRANSFER OF MOISTURE FROM THE ATMOSPHERE TO THE EARTH IN THE FORM OF PRECIPITATION, CONVEYANCE OF THE PRECIPITATED WATER BY STREAMS AND RIVERS TO OCEAN AND LAKES ETC., AND EVAPORATION OF WATER BACK TO THE ATMOSPHERE AS SHOWN IN FIGURE. 1.1.1. THIS CYCLE CONSISTS OF THE FOLLOWING PROCESSES : 1. EVAPORATION AND TRANSPIRATION (E) : THE WATER FROM THE SURFACES OF OCEAN, RIVERS, LAKES AND ALSO FROM THE MOIST SOIL EVAPORATES. THE  ENGG HYDROLOGY & GROUND WATER MGMT. 1-3 C (CE-SEM-4) VAPOURS ARE CARRIED OVER THE LAND BY AIR IN THE FORM OF CLOUDS. TRANSPIRATION IS THE PROCESS OF WATER BEING LOST FROM THE LEAVES OF THE PLANTS FROM THEIR PORES. THUS THE TOTAL EVAPORATION (E). INCLUSIVE OF THE TRANSPIRATION CONSISTS OF: I. SURFACE EVAPORATION. WATER SURFACE EVAPERATION. A FROM RIVER SURFACE. B. FROM OCEANS. III. EVAPORATION FROM PLANTS AND LEAVES (TRANSPIRATION). IV. ATMOSPHERIC EVAPORATION. 2 PRECIPITATION (P): PRECIPITATION MAY BE DEFINED AS THE FALL OF MOISTURE FROM THE ATMOSPHERE TO THE EARTH SURFACE IN ANY FORM. PRECIPITATION MAY BE OF TWO FORMS : I LIQUID PRECIPITATION : I.E. RAINFALL. II FROZEN PRECIPITATION : THIS CONSISTS OF : A SNOW. B. HAIL. C. SLEET. D FREEZING RAIN. 3. RUNOFF (R) : RUNOFF IS THAT PORTION OF PRECIPITATION THAT IS NOT EVAPORATED WHEN MOISTURE FALLS TO THE EARTH'S SURFACE AS PRECIPITATION, A PART OF IT IS EVAPORATED FROM THE WATER SURFACE, SOIL AND VEGETATION AND THROUGH TRANSPIRATION BY PLANTS. AND THE REMAINDER PRECIPITATION IS AVAILABLE AS RUNOFF WHICH ULTIMATELY RUNS TO THE OCEAN THROUGH SURFACE OR SUB-SURFACE STREAMS. THUS RUNOFF MAY BE CLASSIFIED AS FOLLOWS : I. SURFACE RUNOFF : WATER FLOWS OVER THE LAND AND IS FIRST TO REACH THE STREAMS AND RIVERS, WHICH ULTIMATELY DISCHARGE THE WATER TO THE SEA. II. INTER-FLOW OR SUB-SURFACE RUNOFF : A PORTION OF PRECIPITATION INFILTRATES INTO SURFACE SOIL AND DEPENDING UPON THE GEOLOGY OF THE BASINS, RUNS AS SUB-SURFACE RUNOFF AND REACHES THE STREAMS AND RIVERS. III. GROUNDWATER FLOW OR BASE FLOW : IT IS THAT PORTION OF PRECIPITATION, WHICH AFTER INFILTRATION, PERCOLATES DOWN AND JOINS THE GROUNDWATER RESERVOIR WHICH IS ULTIMATELY CONNECTED TO THE OCEAN. THUS, THE HYDROLOGIC CYCLE MAY BE EXPRESSED BY THE FOLLOWING SIMPLIFIED EQUATION : PRECIPITATION (P) = EVAPORATION (E) + RUNOFF (R)
1|"DEFINE THE HYDROLOGY AND DISCUSS CRITICALLY THE STATEMENT ""KNOWLEDGE OF HYDROLOGY IS MUST FOR ANY WATER RESOURCE PLANNING"". 10"||HYDROLOGY :  1-4 C ((CE-SEM-8)  1. IT IS THE SCIENCE THAT DEALS WITH THE OCCURRENCE, CIRCULATION AND DISTRIBUTION AND MOVEMENT OF WATER ON THE EARTH, INCLUDING THAT IN THE ATMOSPHERE AND BELOW THE SURFACE OF THE EARTH. 2. AS A BRANCH OF EARTH SCIENCE, IT IS CONCERNED WITH THE WATER IN STREAMS AND LAKES, RAINFALL AND SNOWFALL. SNOW AND ICE ON THE LAND AND WATER OCCURRING BELOW THE EARTH'S SURFACE IN THE PORES OF THE SOIL AND ROCKS. KNOWLEDGE OF HYDROLOGY : THE BASIC KNOWLEDGE OF THIS SCIENCE IS A MUST FOR EVERY CIVIL ENGINEER, PARTICULARLY THE ONE WHO IS ENGAGED IN THE DESIGN. PLANNING OR CONSTRUCTION OF IRRIGATION STRUCTURES, BRIDGES, AND HIGHWAY CULVERTS, OR FLOOD CONTROL WORKS, ETC. 1. MAXIMUM FLOWS, AFTER DIFFERENT YEARS, ARE EXPECTED AT A SPILLWAY OR A HIGHWAY CULVERT IN A CITY DRAINAGE SYSTEM. 2. MINIMUM RESERVOIR CAPACITY WILL BE SUFFICIENT TO ASSURE ADEQUATE WATER FOR IRRIGATION OR MUNICIPAL WATER SUPPLY, DURING DROUGHTS.
2|WHAT IS THE PURPOSE OF WATER BUDGET EQUATION IN HYDROLOGY ? ALSO GIVE THE EXPRESSION FOR THE WATER BUDGET OF CATCHMENT FOR A TIME INTERVAL AT AND WRITE IN BRIEF ABOUT ALL THE ASSOCIATED TERMS IN THIS EQUATION.||PURPOSE OF WATER BUDGET EQUATION : 1. LARGE CITIES AND URBAN SPRAWL PARTICULARLY AFFECT LOCAL CLIMATE AND HYDROLOGY. 2. URBANIZATION IS ACCOMPANIED BY ACCELERATED DRAINAGE OF WATER THROUGH ROAD DRAINS AND CITY SEWER SYSTEMS, WHICH EVEN INCREASES THE MAGNITUDE OF URBAN FLOOD EVENTS. 3. THIS ALTERS THE RATES OF INFILTRATION, EVAPORATION, AND TRANSPIRATION THAT WOULD OTHERWISE OCCUR IN A NATURAL SETTING. 4. THE REPLENISHING OF GROUND WATER AQUIFERS DOES NOT OCCUR OR OCCURS AT A SLOWER RATE. 5. TOGETHER, THESE VARIOUS EFFECTS DETERMINE THE AMOUNT OF WATER IN THE
3|WRITE SHORT NOTE ON GLOBAL WATER BUDGET.||GLOBAL WATER BUDGET : 1. WATER IS THE MOST IMPORTANT NATURAL RESOURCE WHICH IS VITAL FOR ALL FORMS OF LIFE ON THE EARTH. 2. WATER IS A CRUCIAL ELEMENT IN DEVELOPMENT PLANNING. 3. THE TOTAL QUANTITY OF WATER IN THE WORLD IS ROUGHLY 1360 MILLION CUBIE KILOMETERS OUT OF WHICH ABOUT 97.2 % IS HELD UP IN SEAS AND OCEANS WHILE ABOUT 2.1 % IS FROZEN IN ICE CAPS, AND ABOUT 0.31 % IS AVAILABLE AS DEEP GROUND WATER. THUS 99.6 % OF TOTAL WATER IS OF NO USE TO MAN.
4|A LAKE HAD WATER SURFACE ELEVATION OF 103.200 M ABOVE DATUM AT THE BEGINNING OF CERTAIN MONTH. IN THAT MONTH, THE LAKE RESERVED AN AVERAGE INFLOW OF 6.0 CUMECS FROM SURFACE RUNOFF SOURCES. IF THE SAME PERIOD OUTFLOW FROM THE LAKE HAVE AN AVERAGE VALUE OF 6.5 CUMECS. FURTHER IN THAT MONTH, THE LAKE RECEIVED A RAINFALL OF 145 MM AND EVAPORATION FROM LAKE SURFACE WAS ESTIMATED AT 6.10 CM. WRITE THE WATER BUDGET EQUATION FOR LAKE AND CALCULATE THE WATER SURFACE ELEVATION OF THE LAKE AT END OF MONTH. THE AVERAGE LAKE SURFACE AREA MAY BE TAKEN AS 5000 HECTARES. ASSUME THAT THERE IS NO CONTRIBUTION TO OR FROM GROUNDWATER STORAGE. 10  1-6 C (CE-SOM-8) ||"GIVEN : ELOVATION, H - 103.2 M. AVERAGE INFLOW - 6 CUMECI, AVERAGE OUTFLOW DE 6.5 CUMOCA, RECEIVED RNINFALL, P - 145 MM, EVAPORATION, E - 6.1 CM, TIME INTERVAL, AT - 1 MONTH. AVERNGE SURFACE AREA, A - 5000 HOCTARES. TO FIND : WATER SURFACE ELEVATION OF THE LAKE AT END OF MONTH. 1. IN N TIME INTERVAL A/ THE WATER BUDGET FOR THE LAKE CAN BE WRITTEN NA INPUT VOLUME - OUTPUT VOLUME - CHANGE IN STORNGE OF THE LAKE IN + PA) - (QXI + EA) - AS 2. AT = 1 MONTH - 30 X 24 X 60 X 60 - 2.592 X 10"" H - 2.592 MS IN FLOW VOLUME - IAT - 6.0 X 2.592 AM 15.552 MM³ OUTFLOW VOLUME - QA TO 6.5 X 2.592 - 16.848 MM³ 3. INPUT DUE TO PRECIPITATION 145X5000X100X100 PA = MM³ =7.25MM³ 1000X10° 4. OUTFLOW DUE TO EVAPORATION, 6.10 5000X100X100 EA = MM³ = 3.05 MM³ 100 10° 5. HENCE, AS = (15.552 + 7.25) - (16.848 + 3.05) = 2.904 MM³ CHANGE IN ELEVATIONS, AS 2.904 X 106 AZ = = = 0.058 M A 5000 X 100 X 100 6. NEW WATER SURFACE ELEVATION AT THE END OF THE MONTH = 103.200 + 0.058 = 103.258 M ABOVE THE DATUM.  PRECIPITATION, FORMS OF PRECIPITATION, MEASUREMENT.  "
5|WHAT DO YOU UNDERSTAND BY PRECIPITATION ? EXPLAIN VARIOUS TYPES OF PRECIPITATION.  ENGG HYDROLOGY & GROUND WATER MGMT. 1-7C (CE-SEM-4)||PRECIPITATION : TO THE HYDROLOGIST, PRECIPITATION IS THE GENERAL TERM FOR ALL FORMS OF MOISTURE EMANATING FROM THE CLOUDS AND FALLING TO THE GROUND. TYPES OF PRECIPITATION : 1. CYCLONIC PRECIPITATION : CYCLONIC PRECIPITATION RESULTS FROM LIFTING OF AIR MASSES CONVERGING INTO LOW PRESSURE AREA OF CYCLONE. THE CYCLONIC PRECIPITATION MAY BE DIVIDED INTO (A) FRONTAL PRECIPITATION, AND (B) NON-FRONTAL PRECIPITATION. 2 CONVECTIVE PRECIPITATION : I. CONVECTIVE PRECIPITATION IS CAUSED BY NATURAL RISING OF WARMER LIGHTER AIR IN COLDER, DENSER SURROUNDINGS. IL THE DIFFERENCE IN TEMPERATURE MAY RESULT FROM UNEQUAL HEATING AT THE SURFACE, UNEQUAL COOLING AT THE TOP OF THE AIR LAYER, OR MECHANICAL LIFTING WHEN AIR IS FORCED TO PASS OVER DENSER COLDER AIR MASSES. ILL. CONVECTIVE PRECIPITATION IS SPOTTY AND ITS INTENSITY MAY VARY FROM LIGHT SHOWERS TO CLOUD BURSTS. 3. OROGRAPHIC PRECIPITATION : I. OROGRAPHIC PRECIPITATION IS DUE TO THE LIFTING OF WARM MOISTURE LADEN AIR MASSES DUE TO TOPOGRAPHIC BARRIERS (SUCH AS MOUNTAINS). II. AS IT REACHES HIGHER ELEVATION, IT COMES IN CONTACT WITH COLD AIR AND PRECIPITATION OCCURS. III. THE ZONE TO THE OTHER SIDE OF THE MOUNTAIN WILL BE THE ZONE OF RAIN SHADOW AREA WHERE THE RAINFALL MAY NOT OCCUR, AS SHOWN IN FIGURE. 1.6.1. IV. ALL THE PRECIPITATION WE HAVE IN HIMALAYAN REGION IS BECAUSE OF THE OROGRAPHIC ASCENT OF AIR MASSES, RICH IN MOISTURE CONTENT BECAUSE OF THEIR LONG TRAVEL OVER OCEANS. CLOUDS CLOUDS CLOUDS RAIN SHADOW P WIND HILL EVAPORATION FIGURE. 1.6.1. OROGRAPHIC PRECIPITATION  1-8 C (CE-SEM-8)  4. PRECIPITATION DUE TO TURBULENT ASCENT : I. AIR MASS IS FORCED TO RISE UP DUE TO GREATER FRICTION OF EARTH SURFACE AFTER ITS TRAVEL OVER OCEAN. II. THE AIR MASS RISES UP BECAUSE OF INCREASED TURBULENCE AND FRICTION, WHEN IT ULTIMATELY CONDENSES AND PRECIPITATION OCCURS.
6|EXPLAIN BOTH TYPE OF RAIN GAUGE : A : AUTOMATIC RAIN-GAUGE. B : NON-AUTOMATIC RAIN-GAUGE. 10|DISCUSS THE CURRENT PRACTICE AND STATUS OF THE RAINFALL RECORDING IN INDIA. 05|RAIN-GAUGE : THE AMOUNT OF PRECIPITATION IS EXPRESSED AS THE DEPTH IN CENTIMETRES (OR INCHES) WHICH FALLS ON A LEVEL SURFACE, AND IS MEASURED BY RAIN-GAUGE. TYPES OF RAIN-GAUGE : FOLLOWING ARE THE TYPES OF RAIN-GAUGES USED FOR MEASUREMENT OF RAINFALL : A. NON-AUTOMATIC RAIN-GAUGE : THIS IS ALSO KNOWN AS NON-RECORDING RAIN-GAUGE. SYMON'S RAIN-GAUGE IS THE INSTRUMENT PRESCRIBED BY USE AT ALL GOVERNMENT RAIN-GAUGE STATIONS THROUGHOUT INDIA. SYMON'S RAIN-GAUGE : I. SYMON'S RAIN-GAUGE IS MOST COMMON TYPE OF NON-AUTOMATIC RAIN- GAUGE, AND IS USED BY METEOROLOGICAL DEPARTMENT OF GOVERNMENT OF INDIA. II. AS SHOWN IN FIGURE. 1.7.1, IT CONSISTS OF CYLINDRICAL VESSEL 127 MM IN DIAMETER WITH A BASE ENLARGED TO 210 MM DIAMETER. III. THE TOP SECTION IS A FUNNEL PROVIDED WITH CIRCULAR BRASS RIM EXACTLY 127 MM INTERNAL DIAMETER. IV. THE FUNNEL SHANK IS INSERTED IN THE NECK OF A RECEIVING BOTTLE WHICH IS 75 TO 100 MM DIAMETER. V. A RECEIVING BOTTLE OF RAIN-GAUGE HAS A CAPACITY OF ABOUT 75 TO 100 MM
7|WHAT IS RAIN-GAUGE DENSITY OR NETWORK DENSITY ? WHAT IS THE NORM FOR MINIMUM NETWORK DENSITY AND THE OPTIMUM NUMBER OF RAIN-GAUGE STATIONS AS PER ISI ?||RAIN-GAUGE DENSITY (NETWORK DENSITY) : IT IS DEFINED AS THE RATIO OF TOTAL AREA OF CATCHMENT TO THE TOTAL NUMBER OF GAUGES IN THE CATCHMENT. MINIMUM NETWORK DENSITY : THE WORLD METEOROLOGICAL ORGANISATION (WMO) HAS LAID DOWN THE FOLLOWING NORMS FOR MINIMUM NETWORK DENSITY :  ENGG HYDROLOGY & GROUND WATER MGMT. 1-11 C (CE-SEM-4) TABLE 1.8.1. REGION DESCRIPTION NETWORK DENSITY MINIMUM TOLERABLE I. FLAT REGION OF 1 GAUGE FOR 1 GAUGE FOR TEMPERATE, MEDITERR- 600 TO 900 KM² 900 TO 3000 KM² ANEAN ZONES & TROPICAL II. MOUNTAINEOUS AREAS 1 GAUGE FOR 1 GAUGE FOR OF TEMPERATE, 100 TO 250 KM² 250 TO 1000 KM² MEDITERRANEAN AND TROPICAL ZONES III. ARID AND POLAR ZONES 1 GAUGE FOR - 1500 TO 10000 KM² TEN PERCENT OF THESE GAUGES SHOULD BE OF RECORDING TYPE TO ENABLE THE DETERMINATION OF RAINFALL INTENSITIES. IS CODE RECOMMENDATIONS : IS : 4987-1968 HAS RECOMMENDED THE FOLLOWING DENSITIES : 1. ONE GAUGE PER 520 KM² IN PLAIN AREAS, WITH DENSER NETWORK FOR THE AREAS LYING IN THE PATH OF LOW PRESSURE SYSTEMS. 2. ONE GAUGE PER 260 TO 390 KM² IN REGIONS WITH AVERAGE ELEVATION OF 1000 M ABOVE MEAN SEA LEVEL. 3. ONE GAUGE PER 130 KM² IN PREDOMINANTLY HILLY REGIONS WITH HEAVY RAINFALL, HIGHER DENSITY BEING PREFERRED WHEREVER POSSIBLE.
8|A CATCHMENT HAS FIVE RAIN-GAUGE STATIONS. IN A YEAR, THE ANNUAL RAINFALLS RECORDED BY THE GAUGES ARE 78.8 CM, 90.2 CM, 98.6 CM, 102.4 CM AND 70.4 CM. FOR A 6 % ERROR IN THE ESTIMATION OF THE MEAN RAINFALL, DETERMINE THE ADDITIONAL NUMBER OF GAUGES NEEDED. 10||GIVEN : ANNUAL RAINFALLS RECORDED, 78.8 CM, 90.2 CM, 98.6 CM, 102.4, 70.4 CM, ERROR = % TO FIND : REQUIRED ADDITIONAL NUMBER OF GAUGES. 1. AVERAGE RAINFALL, X = !EX 78.8+90.2+98.6+ 102.4 + 70.4 = = 88.08 CM. 5 2. THE STANDARD DEVIATION OF THE RAINFALL, O, = [(X,-X/2 - N-1  1-12 C (CE-SEM-8) INTRODUCTION = [78.8-88.08)2 - + (90.2 - 88.08)2 + (98.6-88.08)2 (55-1) + (102.4-88.08)2 - + (70.4-88.08)21 O, = 179.732 AX = 13.41 CM 3. COEFFICIENT OF VARIATION, C==GEX100-1341 = X100=15.22 4. REQUIRED NUMBER OF GAUGE, N-(C)--(2522)-0 N= =6.43=7 5. ADDITIONAL NUMBER OF GAUGE =7-5=2
9|A CATCHMENT HAS SIX RAIN GAUGE STATIONS. IN A YEAR, THE ANNUAL RAINFALL RECORDED BY THE GAUGES IS AS FOLLOWS : STATION A B C D E F RAINFALL (CM) 82.6 102.9 180.3 110.3 98.8 136.7 FOR A 10% ERROR IN THE ESTIMATION OF THE MEAN RAINFALL, CALCULATE THE OPTIMUM NUMBER OF STATIONS IN THE CATCHMENT.||GIVEN : RAINFALL = 82.6, 102.9, 180.3, 110.3, 98.8, AND 136.7 EM, ERROR = 10%. TO FIND : OPTIMUM NUMBER OF STATIONS IN THE CATCHMENT. 1. MEAN ANNUAL RAINFALL, 82.6 + 102.9 + 180.3 + 110.3 + 98.8 + 136.7 = = 118.60 CM 6 2. STANDARD DEVIATION, O, = N-1 (82.6 - 118.6)² + (102.9 - 118.6)² + (180.3 - 118.6)² + (110.3 - 118.6)² + (98.8 - 118.6)² + (136.7 - 118.6)² = (6 - 1) = 1227.584 AX = 35.03 CM 100 X O . 100 X 35.03 3. COEFFICIENT OF VARIATION, C. = X = 118.60 = 29.53 4. STANDARD ERROR IN THE ESTIMATION OF THE MEAN, ERR = JM C. = 29.53 V6 12.06% =  A WETER MEMIT 1-13 C (CE-SEM-4) 5. WHEM THE SE LIMITED TO 10% , - 10 SOND THE NUMBER OF IN THE IN SIVEN BY. N - 29.53 10 - 8.72-9
