id|question1|question2|answer
0|DESCRIBE CONSTITUTION AT THE INTERSECTION OF LEGAL, SOCIAL  AND POLITICAL LIFE ?||QUE 1.1.
1|WHAT IS A CONSTITUTION ? 1. CONSTITUTIONS AS LEGAL INSTRUMENTS : IT MAKES THE OPERATION OF POWER PROCEDURALLY PREDICTABLE, UPHOLDS THE RULE OF LAW, AND PLACES LIMITS ON THE ARBITRARINESS OF POWER. IT IS THE SUPREME LAW OF THE LAND, AND IT||"PROVIDES THE STANDARDS THAT ORDINARY STATUTES HAVE TO COMPLY WITH. 1. A CONSTITUTION IS PRIMARILY A SET OF RULES AND PRINCIPLES SPECIFYING HOW A COUNTRY SHOULD BE GOVERNED, HOW POWER IS DISTRIBUTED AND CONTROLLED, 2. CONSTITUTIONS AS SOCIAL DECLARATIONS : CONSTITUTIONS OFTEN ATTEMPT, TO VARYING DEGREES, TO REFLECT AND SHAPE SOCIETY-FOR EXAMPLE, BY EXPRESSING AND WHAT RIGHTS CITIZENS POSSESS. THE (EXISTING OR INTENDED) COMMON IDENTITY AND ASPIRATIONS OF THE PEOPLE, 2. A CONSTITUTION IS A SET OF FUNDAMENTAL LEGAL-POLITICAL RULES THAT : OR BY PROCLAIMING SHARED VALUES AND IDEALS. THESE PROVISIONS ARE GENERALLY ARE BINDING ON EVERYONE IN THE STATE, INCLUDING ORDINARY LAWMAKING FOUND IN PREAMBLES AND OPENING DECLARATIONS, BUT CAN ALSO BE FOUND IN I. OATHS AND MOTTOS OR ON FLAGS AND OTHER SYMBOLS THAT ARE DEFINED BY THE INSTITUTIONS; CONSTITUTION. II. CONCERN THE STRUCTURE AND OPERATION OF THE INSTITUTIONS OF 3. CONSTITUTIONS AS POLITICAL INSTRUMENTS : THE CONSTITUTION PRESCRIBES GOVERNMENT, POLITICAL PRINCIPLES AND THE RIGHTS OF CITIZENS; A COUNTRY'S DECISION MAKING INSTITUTIONS: CONSTITUTIONS 'IDENTIFY THE III. ARE BASED ON WIDE SPREAD PUBLIC LEGITIMACY; SUPREME POWER', 'DISTRIBUTE POWER IN A WAY THAT LEADS TO EFFECTIVE DECISION IV. ARE HARDER TO CHANGE THAN ORDINARY LAWS (E.G. A TWO-THIRDS MAJORITY MAKING AND ""PROVIDE A FRAMEWORK FOR CONTINUING POLITICAL STRUGGLE'. THE VOTE OR A REFERENDUM IS NEEDED); POLITICAL PROVISIONS SHOW HOW STATE INSTITUTIONS (PARLIAMENT, EXECUTIVE, COURTS, HEAD OF STATE, LOCAL AUTHORITIES, INDEPENDENT BODIES, ETC.) ARE V. AS A MINIMUM, MEET THE INTERNATIONALLY RECOGNIZED CRITERIA FOR A CONSTITUTED, WHAT POWERS THEY HAVE AND HOW THEY RELATE TO ONE ANOTHER. DEMOCRATIC SYSTEM IN TERMS OF REPRESENTATION AND HUMAN RIGHTS."
2|WHAT ARE THE FUNCTIONS OF A CONSTITUTION ? ANSWER||DIVISIONS : MOST CONSTITUTIONS ARE DIVIDED AND SUB-DIVIDED INTO PARTS 1. CONSTITUTIONS CAN DECLARE AND DEFINE THE BOUNDARIES OF THE POLITICAL THAT MAY VARIOUSLY BE KNOWN AS TITLES, CHAPTERS, ARTICLES, SECTIONS, COMMUNITY PARAGRAPHS OR CLAUSES. 2. CONSTITUTIONS CAN DECLARE AND DEFINE THE NATURE AND AUTHORITY OF THE ARRANGEMENT : CONSTITUTIONS VARY IN THE ARRANGEMENT OF THEIR POLITICAL COMMUNITY. PROVISIONS, ALTHOUGH IT IS NOW USUAL FOR PRINCIPLES AND RIGHTS PROVISIONS 3. CONSTITUTIONS CAN EXPRESS THE IDENTITY AND VALUES OF A NATIONAL TO BE PLACED IN A SEPARATE SECTION. COMMUNITY. THE LAYOUT OF A TYPICAL CONSTITUTION MIGHT RESEMBLE THE FOLLOWING: 4. CONSTITUTIONS CAN DECLARE AND DEFINE THE RIGHTS AND DUTIES OF CITIZENS.  1-4P (NCC-SEM-5& 6) BASIC INFORMATION ABOUT INDIAN CONSTITUTION 1. PREAMBLE : A STATEMENT OF THE OVERARCHING MOTIVES AND GOALS OF THE  CONSTITUTION-MAKING EXERCISE, SOMETIMES REFERRING TO IMPORTANT 1-5P (NCC-SEM-5& 6) HISTORICAL EVENTS, NATIONAL IDENTITY OR VALUES. ELEMENTS OF CONSTITUTIONALISM : 1. PRELIMINARIES : A DECLARATION OF SOVEREIGNTY OR OF BASIC PRINCIPLES OF WRITTEN CONSTITUTION 2. GOVERNMENT; THE NAME AND TERRITORY OF THE STATE; CITIZENSHIP AND FRANCHISE; 2. INDEPENDENT JUDICIARY STATE IDEOLOGY, VALUES OR OBJECTIVES. 3. JUDICIAL REVIEW 3. FUNDAMENTAL RIGHTS : A LIST OF RIGHTS, INCLUDING THEIR APPLICABILITY, 4. RULE OF LAW ENFORCEMENT, LIMITATIONS, SUSPENSION OR RESTRICTION DURING A STATE OF 5. SEPARATION OF POWERS EMERGENCY. 6. FREE AND FAIR ELECTIONS 4. SOCIAL AND ECONOMIC RIGHTS OR POLICY DIRECTIVES. 7. RESPONSIBLE GOVERNMENT 5. PARLIAMENT OR LEGISLATURE : ITS STRUCTURE, COMPOSITION, TERMS OF OFFICE, PRIVILEGES, PROCEDURES, ETC. 8. FUNDAMENTAL RIGHTS 9. FEDERALISM 6. HEAD OF STATE : THE METHOD OF SELECTION, POWERS, TERMS OF OFFICE. 7. GOVERNMENT (IN A PARLIAMENTARY OR SEMI-PRESIDENTIAL SYSTEM) : 10. DECENTRALISATION OF POWERS. GOVERNMENT FORMATION RULES, RESPONSIBILITY, POWERS.
3|WHAT IS CONSTITUENT ASSEMBLY OF INDIA ? 8. JUDICIARY: COURT TYSTEM,JUDICIAL APPOINTMENTS, JUDICIAL INDEPENDENCE, PUBLIC PROSECUTORS.||9. SUB-NATIONAL GOVERNMENT : FEDERAL OR DEVOLVED POWERS, LOCAL GOVERNMENT. 1. THE CONSTITUENT ASSEMBLY OF INDIA WAS A SOVEREIGN BODY, WHICH WAS FORMED TO DRAFT A CONSTITUTION FOR INDIA. 10. PROVISIONS FOR REFERENDUMS. 2. AN IDEA FOR A CONSTITUENT ASSEMBLY WAS PROPOSED IN 1934 BY M. N. ROY. 11. INSTITUTIONS OF THE SO-CALLED INTEGRITY BRANCH (ELECTORAL COMMISSION, IT BECAME AN OFFICIAL DEMAND OF THE INDIAN NATIONAL CONGRESS IN 1935 OMBUDSMAN, AUDIT INSTITUTION, ETC). AND WAS ACCEPTED BY THE BRITISH IN AUGUST 1940. 12. SECURITY SECTOR : COMMANDER-IN-CHIEF, ANY RESTRICTIONS ON MILITARY 3. IT HELD ITS FIRST SITTING ON 9 DECEMBER 1946 AND REASSEMBLED AS POWER. CONSTITUENT ASSEMBLY FOR DIVIDED INDIA ON 14 AUGUST 1947. 13. OTHER MISCELLANEOUS PROVISIONS: SPECIAL PROVISIONS FOR PARTICULAR GROUPS, 4. ITS MEMBERS WERE CHOSEN BY INDIRECT ELECTION BY THE MEMBERS OF THE LANGUAGE LAWS, PARTICULAR INSTITUTION, ETC. PROVINCIAL LEGISLATIVE ASSEMBLIES THAT HAD BEEN ESTABLISHED UNDER THE GOVERNMENT OF INDIA ACT, 1935. 14. AMENDMENT PROCEDURES, IMPLEMENTATION TIMETABLE AND TRANSITIONARY PROVISIONS. 5. THE CONSTITUENT ASSEMBLY WAS COMPOSED ROUGHLY ALONG THE LINES SUGGESTED BY THE PLAN PROPOSED BY THE COMMITTEE OF THE BRITISH CABINET,
4|EXPLAIN THE FORMATION OF THE (CONSTITUENT)ASSEMBLY. ANSWER (HIQUITI HTALL ANSWER 1. THE IDEA OF CONSTITUTIONALISM SUGGESTS WAYS AND MEANS TO WORK OUT A 1. THE CONSTITUENT ASSEMBLY WAS FORMED ON THE RECOMMENDATION OF THE GOVERNMENTAL FORM, WHICH EXERCISES POWER AND ENSURES, AT THE SAME TIME, INDIVIDUAL FREEDOM AND LIBERTY. CABINET MISSION WHICH VISITED INDIA IN 1946. 2. 2. THE TOTAL STRENGTH OF THE CONSTITUENT ASSEMBLY WAS TO BE 389. OF GOVERNMENT. CONSTITUTIONAL GOVERNMENT, THEREFORE, SHOULD NECESSARILY BE DEMOCRATIC THESE, 296 SEATS WERE TO BE ALLOTTED TO BRITISH INDIA AND 93 SEATS TO THE PRINCELY STATES.  1-6P () BASIC INFORMATION ABOUT INDIAN CONSTITUTION 3. OUT OF 296 SEATS ALLOTTED TO THE BRITISH INDIA, 292 MEMBERS WERE TO BE  1-7P (NCC-SEM-5& 6) DRAWN FROM THE 11 GOVERNORS' PROVINCES AND 4 FROM THE 4 CHIEF COMMISSIONERS' PROVINCES.||4. EACH PROVINCE AND PRINCELY STATE WERE TO BE ALLOTTED SEATS IN PROPORTION TO THEIR RESPECTIVE POPULATION. ROUGHLY, 1 SEAT WAS TO BE ALLOTTED FOR FUNCTIONS OF THE CONSTITUENT ASSEMBLY : 1. EVERY MILLION POPULATION. FRAMING THE CONSTITUTION.. SEATS ALLOCATED TO EACH BRITISH PROVINCE WERE TO BE DECIDED AMONG THE 2. ENACTING LAWS AND INVOLVED IN THE DECISION MAKING PROCESS. 5. THREE PRINCIPAL COMMUNITIES MUSLIMS, SIKHS AND GENERAL, IN PROPORTION 3. IT ADOPTED THE NATIONAL FLAG ON JULY 22, 1947. TO THEIR POPULATION. 4. IT ACCEPTED AND APPROVED INDIA'S MEMBERSHIP OF THE BRITISH 6. THE REPRESENTATIVES OF EACH COMMUNITY WERE TO BE ELECTED BY MEMBERS COMMONWEALTH IN MAY 1949. OF THAT COMMUNITY IN THE PROVINCIAL LEGISLATIVE ASSEMBLY. 5. IT ELECTED DR. RAJENDRA PRASAD AS THE FIRST PRESIDENT OF INDIA ON JANUARY 7. THE REPRESENTATIVES OF PRINCELY STATES WERE TO BE NOMINATED BY THE 24, 1950. HEADS OF THE PRINCELY STATES. 6. IT ADOPTED THE NATIONAL ANTHEM ON JANUARY 24, 1950. 8. AFTER FORMATION OF PAKISTAN THE MUSLIM LEAGUE MEMBERS WITHDREW 7. IT ADOPTED THE NATIONAL SONG ON JANUARY 24, 1950. FROM THE CONSTITUENT ASSEMBLY FOR INDIA.
5|ON WHAT GROUNDS THE CONSTITUENT ASSEMBLY WAS 9. AGAINST 389. CRITICIZED ? 10. THE CONSTITUENT ASSEMBLY MET FOR THE FIRST TIME IN NEW DELHI ON 9TH||DECEMBER, 1946. 11. DR. RAJENDRA PRASAD BECAME THE PERMANENT CHAIRMAN OF THE THE GROUNDS ON WHICH THE CONSTITUENT ASSEMBLY WAS CRITICIZED WERE AS CONSTITUENT ASSEMBLY. FOLLOWS 12. ON 13TH DECEMBER, 1946, PANDIT JAWAHARLAL NEHRU MOVED THE 1. NOT A POPULAR BODY : CRITICS ARGUED THAT THE MEMBERS OF THE OBJECTIVES RESOLUTION WHICH RESOLVED TO PROCLAIM INDIA AS AN CONSTITUENT ASSEMBLY WERE NOT DIRECTLY ELECTED BY THE PEOPLE OF INDIA. INDEPENDENT SOVEREIGN REPUBLIC AND TO DRAW UP FOR HER FUTURE 2. NOT A SOVEREIGN BODY THE CRITICS STATED THAT THE CONSTITUENT ASSEMBLY GOVERNANCE, A CONSTITUTION. WAS NOT A SOVEREIGN BODY AS IT WAS NOT CREATED BY THE PEOPLE OF INDIA. IT 13. THE CONSTITUENT ASSEMBLY TOOK TWO YEARS, ELEVEN MONTHS AND EIGHTEEN WAS CREATED BY THE PROPOSALS OF THE BRITISH RULERS BY EXECUTIVE ACTION BEFORE INDIA'S INDEPENDENCE AND ITS COMPOSITION WAS DETERMINED BY DAYS TO COMPLETE ITS HISTORIC TASK OF DRAFTING THE CONSTITUTION FOR THEM. INDEPENDENT INDIA. 3. TIME CONSUMING THE CRITICS MAINTAINED THAT THE TIME TAKEN TO PREPARE 14. THE CONSTITUENT ASSEMBLY HELD 11 SESSIONS COVERING A TOTAL OF 165 THE CONSTITUTION WAS TOO MUCH IN COMPARISON TO OTHER NATIONS. DAYS. 4. DOMINATED BY CONGRESS : THE CRITICS CONTINUED TO ARGUE THAT THE 15. THE HONOURABLE MEMBERS APPENDED THEIR SIGNATURES TO THE CONSTITUTION CONGRESS IN THE CONSTITUENT ASSEMBLY WAS QUITE DOMINATING AND IMPOSED ON 24TH JANUARY, 1950. THE CONSTITUTION OF INDIA CAME INTO FORCE ON ITS THINKING ON THE PEOPLE OF THE COUNTRY THROUGH THE CONSTITUTION DRAFTED 26TH JANUARY, 1950. BY IT. 16. ON THAT DAY, THE CONSTITUENT ASSEMBLY CEASED TO EXIST, TRANSFORMING 5. DOMINATED BY ONE COMMUNITY : ACCORDING TO SOME CRITICS, DOMINATED THE ITSELF INTO THE PROVISIONAL PARLIAMENT OF INDIA UNTIL A NEW PARLIAMENT CONSTITUENT ASSEMBLY LACKED RELIGIOUS HETEROGENEITY AND WAS WAS CONSTITUTED IN 1952. BY THE HINDUS. 6. DOMINATED BY LAWYERS : CRITICS ALSO ARGUED THAT THE CONSTITUTION IN THE
6|EXPLAIN IN BRIEF OBJECTIVE RESOLUTION. ||GOVERNMENT OF INDIA ACT OF 1935 AND INDIAN INDEPENDENCE ACT 1. THE OBJECTIVE RESOLUTION WAS MOVED ON DECEMBER 13, 1946 BY PANDIT OF 1947, ENFORCEMENT OF THE CONSTITUTION, INDIAN CONSTITUTION JAWAHARLAL NEHRU, WHICH PROVIDED THE PHILOSOPHY AND GUIDING PRINCIPLES AND ITS SALIENT FEATURES. FOR FRAMING THE CONSTITUTION. 2. IT LATER TOOK THE FORM OF PREAMBLE OF THE CONSTITUTION OF INDIA.  3. THIS RESOLUTION WAS UNANIMOUSLY ADOPTED BY THE CONSTITUENT ASSEMBLY ON 22 JANUARY 1947. 
7|ELABORATE GOVERNMENT OF INDIA ACT OF 1935. ANSWER||1. AMONG ALL THE COMMITTEES OF THE CONSTITUENT ASSEMBLY, THE MOST SIGNIFICANT WAS THE DRAFTING COMMITTEE SET UP ON AUGUST 29, 1947. 1. THE GOVERNMENT OF INDIA ACT WAS PASSED BY THE BRITISH PARLIAMENT IN AUGUST 1935. IT WAS THE LONGEST ACT ENACTED BY THE BRITISH PARLIAMENT AT 2. IT WAS THIS COMMITTEE THAT WAS ENTRUSTED WITH THE TASK OF PREPARING A THAT TIME. DRAFT OF THE NEW CONSTITUTION. IT CONSISTED OF SEVEN MEMBERS. THEY 2. WERE : SO, IT WAS DIVIDED INTO TWO SEPARATE ACTS NAMELY, THE GOVERNMENT OF INDIA ACT 1935 AND THE GOVERNMENT OF BURMA ACT 1935. I. DR. B.R. AMBEDKAR (CHAIRMAN) 3. THE GOVERNMENT OF INDIA ACT 1935 DERIVED MATERIAL FROM FOUR KEY II. N. GOPALSWAMI AYYANGAR SOURCES VIZ. REPORT OF THE SIMON COMMISSION, DISCUSSIONS AT THE THIRD III. ALLADI KRISHNASWAMI AYYAR ROUND TABLE CONFERENCE, THE WHITE PAPER OF 1933 AND THE REPORTS OF THE JOINT SELECT COMMITTEES. IV. K.M. MUNSHI 4. THIS ACT ENDED THE SYSTEM OF DYARCHY INTRODUCED BY GOVERNMENT OF V. MOHAMMED SADULLAH INDIA ACT, 1919. VI. B.L. MITTAR (REPLACED BY N. MADHAV RAO) 5. IT PROVIDED FOR ESTABLISHMENT OF A FEDERATION OF INDIA TO BE MADE UP OF VII. D.P. KHAITAN (WHO DIED IN 1948 AND WAS REPLACED BY T.T. PROVINCES OF BRITISH INDIA AND SOME OR ALL OF THE PRINCELY STATES. HOWEVER, KRISHNAMACHARI) THE FEDERATION NEVER CAME INTO BEING AS THE REQUIRED NUMBER OF PRINCELY 3. STATES DID NOT JOIN IT. . THE DRAFTING COMMITTEE, AFTER TAKING INTO CONSIDERATION THE PROPOSALS OF OF THE CONSTITUTION OF WAS PUBLISHED IN FEBRUARY 1948. INDIA, THE VARIOUS WHICH COMMITTEES, PREPARED THE FIRST DRAFT
8|EXPLAIN SALIENT FEATURES OF GOVERNMENT OF INDIA ACT OF 1935. 4. THE PEOPLE OF INDIA WERE GIVEN 8 MONTHS TO DISCUSS THE DRAFT AND PROPOSE AMENDMENTS.||5. IN THE LIGHT OF THE PUBLIC COMMENTS, CRITICISMS AND SUGGESTIONS, THE DRAFTING COMMITTEE PREPARED A SECOND DRAFT, WHICH WAS PUBLISHED IN SALIENT FEATURES OF THE GOVERNMENT OF INDIA ACT 1935 WERE AS FOLLOWS : OCTOBER 1948. 1. ABOLITION OF PROVINCIAL DYARCHY AND INTRODUCTION OF DYARCHY AT CENTRE. 2. ABOLITION OF INDIAN COUNCIL AND INTRODUCTION OF AN ADVISORY BODY IN ITS PLACE.  BASIC INFORMATION ABOUT INDIAN CONSTITUTION 1-10P ()  1-11P () PROVISION FOR AN ALL INDIA FEDERATION WITH BRITISH INDIA TERRITORIES AND 3. STATES.
9|DESCRIBE IN DETAIL ABOUT ENFORCEMENT OF THE CONSTITUTION. ELABORATE PRINCELY SAFEGUARDS AND PROTECTIVE INSTRUMENTS FOR MINORITIES. 4. 5. SUPREMACY OF BRITISH PARLIAMENT.||SIZE OF LEGISLATURES, EXTENSION OF FRANCHISE, ELECTORATE. DIVISION OF SUBJECTS 6. INTO INCREASE THREE IN LISTS AND RETENTION OF COMMUNAL 1. THE CONSTITUTION OF INDIA CAME INTO FORCE ON 26 JANUARY, 1950. ON THAT DAY, THE ASSEMBLY CEASED TO EXIST, TRANSFORMING ITSELF INTO THE PROVISIONAL 7. SEPARATION OF BURMA FROM INDIA. PARLIAMENT OF INDIA UNTIL A NEW PARLIAMENT WAS CONSTITUTED IN 1952. DESCRIBE INDIAN INDEPENDENCE ACT OF 1947. 2. THE DATE OF 26TH JANUARY WAS CHOSEN TO COMMEMORATE THE HISTORICAL
